id,name,organisation,city,countryName,inLithodat,comments
13,AMDEL - Australian Mineral Development Lab,,Frewville,South Australia,1,
16,Analabs,,,,1,Location not specified
27,Bureau of Mineral Resources Laboratories,Bureau of Mineral Resources,Canberra,Australian Capital Territory,0,
31,Becquerel Laboratories,,Lucas Heights,New South Wales,0,
94,ALS - Brisbane,,Brisbane,Queensland,0,facilities @Brisbane
116,Analabs -Perth,,Perth,Western Australia,0,facilities @ Perth
119,AGSO - Australian Geological Survey Organization,Australian Geological Survey Organization,Canberra,Australian Capital Territory,1,
120,Australian National University,Australian National University,Canberra,Australian Capital Territory,1,
124,Cambridge University,Cambridge University,Cambridge,United Kngdom,0,
130,Macquarie University,Macquarie University,Sydney,New South Wales,1,
136,University of New England,University of New England,Portland,United States,0,
137,University of NSW (Kensington),University of NSW (Kensington),Kensington,Bedegal,0,facilities @ Kensington
138,University of Sydney,University of Sydney,Sydney,New South Wales,1,
146,Sheen - Perth,,Perth,Western Australia,0,Details not specified
147,SGS - Sydney,,Sydney,New South Wales,1,facilities @Sydney
154,Analabs - Adelaide,,Adelaide,South Australia,0,facilities @Adelaide
161,DMR Chem Laboratories (Division of Materials Research),National Science Foundation,Alexandria,United States,0,
164,AMDEL - Adelaide,,Adelaide,South Australia,1,facilities @Adelaide
174,Zinc Corp - Broken Hill,,Broken Hill,New South Wales,0,facilities @Broken Hill
177,Swiss Federal Institute of Technology,Swiss Federal Institute of Technology,,Switzerland,0,Details not specified
178,University of Queensland,University of Queensland,Brisbane,Queensland,1,facilities @Brisbane
179,CSIRO - Ryde,CSIRO,Ryde,New South Wales,1,CSIRO facilities @Ryde
180,University of Tasmania,University of Tasmania,,,1,facilities @
181,University of Newcastle,University of Newcastle,Newcastle ,New South Wales,1,facilities @Newcastle
182,Victoria University,Victoria University,Melbourne,Victoria,0,facilities @Melbourne
183,Central Laboratories,,,,0,Details not specified
185,BHP Central Research Laboratories,,Shortland,New South Wales,0,facilities @Shortland
186,Australian Gas Light Company - Testing & Research Department,,,,0,Details not specified
187,Avery and Anderson,,,,0,Unable to get details
188,Japan Analytical Chemistry Research Institute,Japan Analytical Chemistry Research Institute,Chiba,Japan,0,
190,Shimane University,Shimane University,Shimane,Japan,0,
191,Tasmanian Department of Mines,Tasmanian Department of Mines,Lutruwita ,Tasmania,0,1992-1993
192,University of Liverpool,University of Liverpool,Liverpool,United Kngdom,0,
193,Latrobe University,La Trobe University,Melbourne,Victoria,0,
194,ALS Chemex,,,,0,Unable to get details
195,Amdel Laboratories,,,,1,Unable to get details
196,Bureau Veritas Minerals Pty Ltd,,Perth,Western Australia,0,facilities @Perth
197,CSIRO - Perth,,Perth,Western Australia,0,facilities @Perth
198,Geoscience Australia,Geoscience Australia,Canberra,Australian Capital Territory,1,
